"Age","Lili","Pasdefond","Francis","Clo","FFmean"
260,4.89465500157555,5.35519023339192,4.05761362996814,3.78680763080023,4.52356662393396
270,4.9370314134362,5.3441472560157,4.06364362975045,3.7685140347187,4.52833408348026
280,4.97947977440398,5.33252860726674,4.07007596632021,3.74973187131057,4.53295405482537
290,5.02199888692726,5.32050682923035,4.07697923196315,3.73054603901397,4.53750774678368
300,5.06459582236396,5.30809833883571,4.08429923702101,3.71093227994295,4.54198141954091
310,5.10725352645845,5.29529778245213,4.0920492593341,3.69092643253524,4.54638175019498
320,5.14995111360147,5.28203346493684,4.10024193056935,3.67055855850662,4.55069626690357
330,5.19268445826093,5.26846816636947,4.10882354728052,3.6498075931755,4.5549459412716
340,5.23544857196849,5.25462010032606,4.11787094075087,3.62874158972979,4.5591703006938
350,5.2782195451981,5.24050323194168,4.12729522613156,3.60734424639818,4.56334056241738
360,5.32098926542734,5.22605483558777,4.1371480093512,3.5856526297751,4.56746118503535
370,5.36374433929298,5.21141040643301,4.14739622630274,3.56368979616209,4.5715601920477
380,5.40646176555216,5.19658960302679,4.15803023026667,3.54144959576107,4.57563279865167
390,5.44913733772128,5.18160932284634,4.16907835931433,3.5189840949296,4.57970227870289
400,5.49175791074073,5.16645582298525,4.18047707128238,3.49628551732272,4.58374408058277
410,5.53428638063572,5.15120640400235,4.19229264375311,3.47338852299089,4.58779348784552
420,5.57671571406402,5.13588738632129,4.20445294754023,3.45031127370074,4.59184183040657
430,5.61904679208179,5.12051729366827,4.21698685670448,3.42705865882242,4.59590240031924
440,5.66125237332449,5.10511943934837,4.22988048386735,3.40366821270608,4.59998012731157
450,5.70326682337113,5.08973584592898,4.2431061240511,3.38014097710047,4.60406244261292
460,5.74513076520465,5.07438685727104,4.25670364074759,3.35650593159379,4.60818179870427
470,5.78682529860131,5.05909138502567,4.27060715106941,3.33277855420249,4.61232559722472
480,5.8282872724101,5.0438972941762,4.28486466911824,3.30897087503024,4.6165050276837
490,5.86949378048164,5.02883425942006,4.29942790541731,3.28510777619998,4.62071593037975
500,5.91048199854962,5.01390464760946,4.31430473012164,3.26119915620524,4.62497263312149
510,5.95121725096734,4.99912663839223,4.32949683194415,3.23726558380065,4.62927657627609
520,5.99157981947186,4.9845602065816,4.34496451747415,3.21332200838042,4.63360663797701
530,6.03164551974525,4.97024440882901,4.36075463274547,3.18938394794403,4.63800712731594
540,6.07141080761213,4.95615289553306,4.37680304228803,3.16546576110084,4.64245812663352
550,6.11079923716022,4.9423021531625,4.39314249764184,3.14158603146629,4.64695747985771
560,6.14972599510992,4.92875249943092,4.40974479029733,3.11775483234905,4.65149452929681
570,6.18829573449394,4.91557178747282,4.42660270765933,3.09398856492572,4.65611469863795
580,6.22646955326042,4.90269602097011,4.44372946459682,3.07030302331774,4.66079951553627
590,6.26410066015851,4.89013921948288,4.46108228375438,3.04670425639275,4.66550660494713
600,6.3012399960069,4.87795150475553,4.47870215380672,3.02321920931988,4.67027821597226
610,6.33794079953736,4.86624566451088,4.49653878233167,2.99984604024484,4.67514282165619
620,6.37413164041052,4.85491338153749,4.51461047859262,2.97660433217957,4.68006495818005
630,6.40961158859681,4.84396563866687,4.53290480044755,2.95350749663489,4.68499738108653
640,6.44458790485135,4.83343351936765,4.55140510253669,2.93055543273229,4.689995489872
650,6.47902410088865,4.82348684369551,4.57013281938127,2.90778303603224,4.69510669999942
660,6.5127657632617,4.81396888167868,4.58904761423704,2.88517573958046,4.70023949968947
670,6.54578604207239,4.80488758486344,4.60817907177378,2.8627577553511,4.70540261351517
680,6.57822473427976,4.79625771983005,4.62749567929184,2.84053806788163,4.71062905032082
690,6.61001695694443,4.78828295034516,4.6470039371326,2.81851256186466,4.71595410157171
700,6.64090339951267,4.78078826078954,4.6667034788713,2.79672305244258,4.72127954790403
710,6.67109685702576,4.77376839341644,4.68657228190108,2.77514259210479,4.72664503111202
720,6.70061647383611,4.76723456475525,4.70663839076252,2.75380096042646,4.73207259744508
730,6.7293231725405,4.76137170578624,4.72686431839886,2.73270147641411,4.73756516828493
740,6.75705830389062,4.75604442807334,4.74727268333109,2.71183910395799,4.74305362981326
750,6.78407578494179,4.75121524352899,4.76784612903375,2.6912564298274,4.74859839683298
760,6.81031803046964,4.7468916280676,4.78858369019246,2.67092049108406,4.75417845995344
770,6.83553189640863,4.74323229485596,4.80949490783358,2.65086534613932,4.75978111130937
780,6.85983385418824,4.74015086218371,4.8305552494423,2.63108764113984,4.76540690173852
790,6.88335006801697,4.73757598178067,4.85179592666766,2.61158336444675,4.77107633522801
