"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
1930,8.38667572116698,6.61389019699,NA,NA,7.8019608570882,7.60084225841506
1940,8.38596426042599,6.62166068549199,NA,NA,7.80651400959406,7.60471298517068
1950,8.38488608649959,6.62937400920001,NA,NA,7.81185082804033,7.60870364124664
1960,8.38345793465429,6.63702515031228,NA,NA,7.81794503854795,7.61280937450484
1970,8.38169132802166,6.64460376100004,NA,NA,7.8248434536995,7.61704618090707
1980,8.37958778622001,6.65211244663443,NA,NA,7.83252713679572,7.62140912321672
1990,8.37714893727652,6.65954698753878,NA,NA,7.84093321446207,7.62587637975913
2000,8.37437652985147,6.66690305665823,NA,NA,7.85008974477047,7.63045644376006
2010,8.3712570426209,6.67417593858753,NA,NA,7.86002543301897,7.63515280474246
2020,8.36779013529245,6.68135807364451,NA,NA,7.87064495881936,7.63993105591877
2030,8.36399133776643,6.6884392690324,NA,NA,7.88195988354629,7.64479683011504
2040,8.3598679893471,6.69542266120393,NA,NA,7.89403490050402,7.64977518368502
2050,8.35542269496117,6.7023034667158,NA,NA,7.90675980201584,7.65482865456427
2060,8.35065826470542,6.70907683845694,NA,NA,7.92013497603373,7.65995669306537
2070,8.34557772772201,6.71573717108267,NA,NA,7.93420638083418,7.66517375987962
2080,8.34015938742081,6.72227367664831,NA,NA,7.94891172837417,7.67044826414776
2090,8.33442138866933,6.72867860326407,NA,NA,7.96421991564041,7.6757733025246
2100,8.32837860085064,6.73495506659808,NA,NA,7.98015976429616,7.6811644772483
2110,8.32203522965531,6.74109800281837,NA,NA,7.99671174562672,7.68661499270014
2120,8.31539569171096,6.74710232999861,NA,NA,8.01381761536605,7.69210521235854
2130,8.30846470804323,6.75296167905517,NA,NA,8.03149088034983,7.69763908914941
2140,8.30123795819891,6.75866131872913,NA,NA,8.04974900175916,7.70321609289573
2150,8.29371335218651,6.76419857755643,NA,NA,8.0685120239744,7.70880798457245
2160,8.28590883248668,6.76957570813268,NA,NA,8.0877813331157,7.71442195791169
2170,8.27783640625071,6.7747876477695,NA,NA,8.10759675354491,7.72007360252171
2180,8.26950259849362,6.77982935817364,NA,NA,8.1278743053104,7.72573542065922
