"Age","Castor","Gagnon","Perche","Desperiers","Labelle","BBmean"
640,-0.149918582756047,0.16121819236414,NA,NA,0.26560805673489,0.0923025554476608
650,-0.190175495607387,0.133665526689888,NA,NA,0.238444874400974,0.0606449684944917
660,-0.232269412922942,0.103943865017144,NA,NA,0.211326771727337,0.0276670746071797
670,-0.276310984331449,0.07229478212032,NA,NA,0.184288171522343,-0.0065760102295954
680,-0.322410859461644,0.0389598527738288,NA,NA,0.157363496594352,-0.0420291700311542
690,-0.370679687942263,0.00418065175208293,NA,NA,0.130587169751728,-0.0786372888128172
700,-0.419343002773647,-0.0318012461705049,NA,NA,0.103993613802834,-0.115716878380439
710,-0.464920261870424,-0.0687442662195223,NA,NA,0.0776172515560312,-0.152015758844638
720,-0.50733395652846,-0.1063348373642,NA,NA,0.0514925058196823,-0.187392096024326
730,-0.546587251802113,-0.143346056529943,NA,NA,0.0256537994021501,-0.221426502976635
740,-0.582683312745739,-0.179165955146566,NA,NA,0.000135555111797081,-0.253904570926836
750,-0.615625304413695,-0.213478850947275,NA,NA,-0.0250278042430145,-0.284710653201328
760,-0.64541639186034,-0.245969061665278,NA,NA,-0.0490084004590561,-0.313464617994891
770,-0.672059740140028,-0.276320905033782,NA,NA,-0.0692950774055897,-0.3392252408598
780,-0.695558514307119,-0.304218698785994,NA,NA,-0.0857821606523882,-0.361853124581834
790,-0.715915879415968,-0.329346760655121,NA,NA,-0.0985553766731923,-0.381272672248094
800,-0.733135000520933,-0.351389408374371,NA,NA,-0.107700451941743,-0.397408286945682
810,-0.747219042676371,-0.370030959676951,NA,NA,-0.11330311293178,-0.410184371761701
820,-0.758171170936639,-0.384955732296068,NA,NA,-0.115449086117045,-0.419525329783251
830,-0.765994550356094,-0.395848043964929,NA,NA,-0.114224097971278,-0.425355564097434
840,-0.770692345989094,-0.402392212416742,NA,NA,-0.109713874968221,-0.427599477791352
850,-0.772604918863234,-0.404272555384713,NA,NA,-0.102004143581613,-0.426293872609853
860,-0.773099194006463,-0.401173390602051,NA,NA,-0.0911806302851951,-0.421817738297903
870,-0.772211812547992,-0.392779035801961,NA,NA,-0.0773290615527084,-0.41410663663422
880,-0.769818041295946,-0.379732817954207,NA,NA,-0.0605351638578935,-0.403362007702682
890,-0.765793147058451,-0.365896097451915,NA,NA,-0.040884663674491,-0.390857969394952
900,-0.760012396643635,-0.351733911990553,NA,NA,-0.0184632874762415,-0.37673653203681
910,-0.752351056859623,-0.337271728630566,NA,NA,0.00664323826311441,-0.360993182409025
920,-0.742684394514541,-0.322535014432401,NA,NA,0.0341651659281912,-0.343684747672917
930,-0.730887676416516,-0.307549236456504,NA,NA,0.0623767888009691,-0.325353374690684
940,-0.716836169373674,-0.292339861763322,NA,NA,0.0908362575722775,-0.306113257854906
950,-0.700405140194141,-0.276932357413302,NA,NA,0.119497116951286,-0.285946793552053
960,-0.681469855686044,-0.261352190466891,NA,NA,0.148312911647164,-0.26483637816859
970,-0.659905582657508,-0.245624827984534,NA,NA,0.177237186369082,-0.242764408090987
980,-0.63558758791666,-0.229775737026679,NA,NA,0.20622348582621,-0.21971327970571
990,-0.608391138271627,-0.213830384653771,NA,NA,0.235225354727717,-0.195665389399227
1000,-0.57821708547259,-0.197814237926258,NA,NA,0.264196337782773,-0.170611661872025
1010,-0.545325857860933,-0.181752763904586,NA,NA,0.293089979700547,-0.144662880688324
1020,-0.509963935095843,-0.165671429649202,NA,NA,0.321859825190211,-0.117925179851611
1030,-0.472317781667447,-0.149595702220553,NA,NA,0.350459418960933,-0.0904846883090222
1040,-0.432573862065875,-0.133363937605764,NA,NA,0.378842305721884,-0.0623651646499184
1050,-0.390918640781254,-0.116827495268627,NA,NA,0.406962030182233,-0.0335947019558827
1060,-0.347538582303714,-0.100249838519934,NA,NA,0.43477213705115,-0.00433876125749925
1070,-0.302620151123382,-0.0839002444906309,NA,NA,0.462226171037804,0.0252352584745973
1080,-0.256349811730386,-0.0680479903116653,NA,NA,0.489265056910325,0.0549557516227579
1090,-0.208914028614856,-0.0529623531139826,NA,NA,0.515088226166544,0.0844039481459017
1100,-0.160499266266919,-0.0389126100285286,NA,NA,0.539332789748069,0.113306971150874
1110,-0.111291989176704,-0.02616803818625,NA,NA,0.562128896656088,0.141556289764378
1120,-0.0614786618343397,-0.0149979147180925,NA,NA,0.583606695891788,0.169043373113119
1130,-0.0112457487299539,-0.00567151675500221,NA,NA,0.603896336456355,0.195659690323799
1140,0.0392202856463249,0.0015418785720745,NA,NA,0.623127967350975,0.221296710523125
1150,0.0897281600604567,0.00637299413219172,NA,NA,0.641431737576837,0.245844297256495
1160,0.139756472492142,0.0085525527944032,NA,NA,0.658937796135125,0.269082273807224
1170,0.189051348441604,0.00781127742776305,NA,NA,0.675776292027029,0.290879639298799
1180,0.237619596283594,0.00387989090132496,NA,NA,0.692077374253733,0.311192287146217
1190,0.285468024392868,-0.00350036728633324,NA,NA,0.707971191816425,0.329979616307653
1200,0.332603441144177,-0.0136453255779401,NA,NA,0.723587893716292,0.34751533642751
1210,0.379032654912277,-0.0257582576023171,NA,NA,0.739057628954519,0.364110675421493
1220,0.42476247407192,-0.0394772033450591,NA,NA,0.754510546532296,0.379931939086385
1230,0.46979970699786,-0.0544402027917604,NA,NA,0.770076795450807,0.395145433218969
1240,0.51415116206485,-0.0702852959280159,NA,NA,0.785886524711239,0.409917463616025
1250,0.557823647647645,-0.0866505227394201,NA,NA,0.801745475330042,0.424306200079422
1260,0.600823972120998,-0.103173923211567,NA,NA,0.817136080333428,0.438262043080953
1270,0.643158943859662,-0.119493537330053,NA,NA,0.831958346920971,0.451874584483527
1280,0.684835371238391,-0.13524740508047,NA,NA,0.846118319257014,0.465235428471645
1290,0.725860062631939,-0.150073566448415,NA,NA,0.859522041505902,0.478436179229809
1300,0.766239826415058,-0.163610061419481,NA,NA,0.872075557831978,0.491568440942518
1310,0.804970128881028,-0.175494929979264,NA,NA,0.883684912399587,0.504386703767117
1320,0.840577092505757,-0.185366212113357,NA,NA,0.894256149373072,0.516489009921824
1330,0.873123819349267,-0.192861947807356,NA,NA,0.903695312916777,0.527985728152896
1340,0.902688807026553,-0.197620177046855,NA,NA,0.911908447195046,0.538992359058248
1350,0.929350553152607,-0.199366226440062,NA,NA,0.918801596372223,0.549595307694923
1360,0.953187555342421,-0.198772467524327,NA,NA,0.924280804612652,0.559565297476916
1370,0.97427831121099,-0.196242249305086,NA,NA,0.928252116080677,0.568762725995527
1380,0.992701318373306,-0.192002975582253,NA,NA,0.930621574940642,0.577106639243898
1390,1.00853507444436,-0.186282050155743,NA,NA,0.931295225356891,0.58451608321517
1400,1.02185807703915,-0.179306876825469,NA,NA,0.930179111493767,0.590910103902484
1410,1.03274882377267,-0.171304859391346,NA,NA,0.927719221817706,0.59638772873301
1420,1.04128581225991,-0.162503401653289,NA,NA,0.92596201271789,0.601581474441503
1430,1.04754754011586,-0.153129907411211,NA,NA,0.925022134929205,0.606479922544617
1440,1.05161250495551,-0.143411780465028,NA,NA,0.924792022458244,0.610997582316243
1450,1.05355920439387,-0.133576424614652,NA,NA,0.9251641093116,0.615048963030272
1460,1.05388504603825,-0.123851243659999,NA,NA,0.926030829495868,0.618688210624706
1470,1.05404240447475,-0.114463641400983,NA,NA,0.927284617017641,0.622287793363801
1480,1.05414390603856,-0.105641021637518,NA,NA,0.928817905883512,0.625773596761517
1490,1.05418561459085,-0.0976107881695191,NA,NA,0.930523130100076,0.629032652173803
1500,1.05416359399279,-0.0906003447968994,NA,NA,0.932292723673926,0.631951990956605
1510,1.05407390810552,-0.0846864203332842,NA,NA,0.934019120611656,0.634468869461299
1520,1.05391262079023,-0.0794387161732928,NA,NA,0.93559475491986,0.636689553178931
1530,1.05367579590805,-0.0747216980203262,NA,NA,0.936912060605131,0.638622052830952
1540,1.05335949732016,-0.0704347124788658,NA,NA,0.937863471674063,0.640262752171786
1550,1.05295978888772,-0.0664771061533931,NA,NA,0.938341422133249,0.641608034955858
1560,1.05247273447188,-0.0627482256483896,NA,NA,0.938238345989284,0.642654284937593
1570,1.05189439793382,-0.0591474175683367,NA,NA,0.937508202856754,0.643418394407411
1580,1.05122084313468,-0.055574028517716,NA,NA,0.936876759236005,0.644174524617656
1590,1.05044813393563,-0.0519274051010091,NA,NA,0.936700456790835,0.64507372854182
1600,1.04957233419784,-0.0481068939226973,NA,NA,0.937130040069902,0.646198493448348
1610,1.0482794341854,-0.0440118415872622,NA,NA,0.938316253621867,0.647527948740003
1620,1.0439977255905,-0.0395415946991853,NA,NA,0.940409841995389,0.648288657628902
1630,1.03620895626474,-0.0345954998629481,NA,NA,0.943561549739127,0.648391668713641
1640,1.02498117585421,-0.029072903683032,NA,NA,0.947922121401741,0.647943464524305
1650,1.01038243400497,-0.0228731527639187,NA,NA,0.953642301531889,0.647050527590979
1660,0.992480780363101,-0.0158955937100894,NA,NA,0.960872834678232,0.645819340443748
1670,0.971344264574687,-0.00829603335621665,NA,NA,0.969764465389428,0.644270898869299
1680,0.947040936285801,-0.000313685256615959,NA,NA,0.980467938214137,0.642398396414441
1690,0.919638845142519,0.00815897775458829,NA,NA,0.993133997701018,0.640310606866042
