"Age","Lili","Pasdefond","Francis","Clo","BBmean"
2040,0.197026914792747,0.125175057034226,0.960791886006561,0.0761437094460343,0.339784391819892
2050,0.198096347969487,0.115577324499241,0.94322734061113,0.0161015012166766,0.318250628574134
2060,0.197495632902168,0.106166709922348,0.92583444741122,-0.0504040873943783,0.294773175710339
2070,0.195053000228205,0.0964787929503163,0.908647852411945,-0.123748991234989,0.269107663588869
2080,0.191811751493429,0.086049153229918,0.891702201618418,-0.198422697431996,0.242785102227442
2090,0.188495757753727,0.0744133704079242,0.875032141035753,-0.271840585834788,0.216525170840654
2100,0.185418262840987,0.0611070241311061,0.858672316669064,-0.343758075034056,0.190359882151775
2110,0.182892510587095,0.0456656940462348,0.842657374523466,-0.413930583620492,0.164321248884076
2120,0.181231744823938,0.0276249598000816,0.827021960604071,-0.482113530184788,0.138441283760825
2130,0.180749209383401,0.00652040103941781,0.811800720915993,-0.548062333317637,0.112751999505294
2140,0.181758148097371,-0.0185470747251037,0.797028301464346,-0.611532411609729,0.0871767408067212
2150,0.184571804797736,-0.0535967634057842,0.782739348254244,-0.672279183651758,0.0603588014986096
2160,0.189503423316381,-0.0986020114495868,0.768968507290801,-0.730058068034414,0.0324529627807953
2170,0.196866247485192,-0.151210457230067,0.755750424579131,-0.78462448334839,0.00419543287146661
2180,0.206973521136058,-0.209069739120779,0.743119746124346,-0.835733848184378,-0.0236775800111882
2190,0.220138488100863,-0.269827495495279,0.731111117931562,-0.88314158113307,-0.0504298676489809
2200,0.236674392211495,-0.331131364727121,0.719759186005892,-0.926603100785158,-0.0753252218237231
2210,0.254524265157668,-0.390628985189862,0.709098596352449,-0.964255508713174,-0.0978154080982298
2220,0.27100492667482,-0.445967995257055,0.699161058856898,-0.99381733719374,-0.117404836729769
2230,0.286181428568097,-0.494796033302257,0.689128504696969,-1.01569102942546,-0.133794282365663
2240,0.300124466662041,-0.534760737699022,0.678316050248355,-1.03030477674237,-0.146656249382749
2250,0.312904736781192,-0.563509746820905,0.666689329594607,-1.03808677047849,-0.155500612730899
2260,0.324592934750092,-0.578843528416699,0.654213976819279,-1.03946520196786,-0.159875454703798
2270,0.335259756393282,-0.583530430129934,0.640855626005923,-1.03486826254451,-0.16057082756881
2280,0.344975897535303,-0.580198173269452,0.626579911238091,-1.02472414354247,-0.158341627009631
2290,0.353812054000698,-0.569868340199161,0.611352466599335,-1.00946103629576,-0.153541213973723
2300,0.361838921614006,-0.553562513282966,0.595138926173208,-0.989507132138427,-0.146522949408545
2310,0.36912719619977,-0.532302274884775,0.577904924043263,-0.965290622404491,-0.137640194261558
2320,0.37574757358253,-0.507109207368492,0.55961609429305,-0.937239698427985,-0.127246309480224
2330,0.381770749586829,-0.479004893098024,0.540238071006124,-0.90578255154294,-0.115694656012003
2340,0.387305530741823,-0.449010914437277,0.519736488266036,-0.87202134726986,-0.10349756067482
2350,0.392474254726817,-0.418148853750158,0.498076980156339,-0.839628219446501,-0.091806459578376
2360,0.397193451392138,-0.387440293400573,0.475225180760584,-0.808733966210767,-0.0809389068646547
2370,0.401365886697006,-0.357906815752428,0.451146724162325,-0.778913414163265,-0.0710769047640904
2380,0.404894326600643,-0.330554453200992,0.425807244445114,-0.749741389904601,-0.0623985680149592
2390,0.407681537062269,-0.304890573315532,0.399172375692502,-0.720792720035381,-0.0547073451490354
2400,0.409630284041103,-0.279928621407467,0.371207751988043,-0.691642231156211,-0.0476832041336328
2410,0.410643333496367,-0.255261712920436,0.341879007415289,-0.661864749867697,-0.0411510304691192
2420,0.410623451387281,-0.230482963298076,0.311151776057792,-0.631035102770445,-0.0349357096558623
2430,0.409473403673064,-0.205185487984026,0.278991691999105,-0.598728116465062,-0.0288621271942297
2440,0.407095956312939,-0.178962402421922,0.24536438932278,-0.564518617552154,-0.0227551685845893
2450,0.403393875266124,-0.151406822055402,0.213359035988649,-0.527981432632326,-0.0156588358582389
2460,0.398269926491841,-0.122111862328104,0.186348447110934,-0.488691388306185,-0.0065462192578787
2470,0.391726696530587,-0.090670638683665,0.164111691974512,-0.446357011110108,0.00470268467783154
2480,0.384821760769981,-0.0566762665657231,0.146424558669451,-0.406502722859756,0.0170168325034884
2490,0.377853807223972,-0.0197218614179159,0.133062835285819,-0.372330767572263,0.0297160033799031
2500,0.370810104666079,0.0205960061003359,0.123802309913683,-0.344007130363296,0.0428003225792005
