depth	min.95	max.95	median	mean
165.5	2323	2961	2608	2613
166	2352	2975	2629	2638
166.5	2381	2988	2652	2662
167	2406	3002	2677	2686
167.5	2432	3017	2704	2710
168	2461	3031	2731	2734
168.5	2489	3045	2755	2759
169	2515	3060	2782	2783
169.5	2537	3072	2811	2807
170	2561	3087	2838	2831
170.5	2591	3092	2851	2844
171	2627	3098	2860	2857
171.5	2654	3107	2870	2869
172	2683	3111	2882	2882
172.5	2703	3118	2894	2895
173	2718	3126	2906	2907
173.5	2725	3134	2918	2920
174	2730	3144	2932	2933
174.5	2733	3155	2945	2945
175	2737	3176	2955	2958
175.5	2745	3184	2969	2972
176	2754	3194	2983	2986
176.5	2762	3209	2998	2999
177	2770	3228	3014	3013
177.5	2776	3246	3029	3026
178	2782	3266	3044	3040
178.5	2788	3285	3055	3054
179	2795	3309	3068	3067
179.5	2800	3334	3079	3081
180	2805	3363	3091	3095
180.5	2835	3367	3101	3106
181	2865	3373	3113	3118
181.5	2893	3378	3128	3130
182	2918	3383	3142	3142
182.5	2944	3388	3155	3154
183	2958	3393	3171	3165
183.5	2969	3399	3184	3177
184	2972	3406	3195	3189
184.5	2976	3414	3208	3201
185	2978	3423	3222	3212
185.5	2987	3430	3230	3220
186	2998	3440	3238	3228
186.5	3007	3452	3245	3236
187	3017	3464	3251	3244
187.5	3026	3475	3258	3252
188	3035	3487	3265	3260
188.5	3044	3501	3271	3268
189	3052	3514	3277	3276
189.5	3058	3530	3283	3284
190	3065	3546	3291	3291
190.5	3082	3550	3301	3302
191	3094	3554	3311	3313
191.5	3109	3557	3323	3324
192	3125	3563	3333	3335
192.5	3138	3566	3344	3346
193	3148	3572	3356	3357
193.5	3160	3579	3366	3368
194	3174	3586	3377	3379
194.5	3187	3592	3391	3390
195	3198	3600	3405	3400
195.5	3227	3604	3425	3418
196	3256	3610	3443	3436
196.5	3282	3617	3461	3454
197	3313	3621	3479	3472
197.5	3342	3628	3496	3490
198	3371	3637	3515	3508
198.5	3396	3646	3534	3526
199	3419	3656	3552	3544
199.5	3441	3677	3570	3562
200	3459	3694	3588	3580
200.5	3472	3695	3593	3586
201	3483	3697	3598	3593
201.5	3494	3699	3604	3599
202	3504	3701	3609	3605
202.5	3513	3704	3614	3611
203	3524	3712	3619	3617
203.5	3533	3720	3624	3623
204	3543	3725	3629	3629
204.5	3550	3729	3634	3635
205	3559	3731	3640	3641
205.5	3573	3737	3644	3646
206	3583	3742	3647	3652
206.5	3590	3748	3651	3658
207	3596	3751	3655	3664
207.5	3600	3756	3659	3670
208	3608	3760	3665	3675
208.5	3617	3764	3672	3681
209	3625	3770	3679	3687
209.5	3633	3779	3686	3693
210	3639	3789	3693	3699
210.5	3645	3792	3699	3704
211	3651	3796	3704	3708
211.5	3654	3798	3710	3713
212	3658	3799	3715	3718
212.5	3662	3802	3721	3723
213	3665	3806	3727	3728
213.5	3667	3814	3732	3732
214	3669	3821	3737	3737
214.5	3671	3830	3742	3742
215	3673	3839	3747	3747
215.5	3676	3845	3750	3750
216	3678	3850	3753	3754
216.5	3680	3855	3756	3757
217	3681	3862	3760	3760
217.5	3682	3867	3763	3764
218	3683	3871	3766	3767
218.5	3684	3878	3769	3771
219	3685	3886	3772	3774
219.5	3686	3893	3775	3777
220	3687	3898	3778	3781
220.5	3707	3903	3786	3790
221	3719	3911	3797	3800
221.5	3726	3923	3806	3810
222	3733	3939	3814	3819
222.5	3736	3961	3822	3829
223	3738	3984	3830	3839
223.5	3741	4008	3837	3848
224	3743	4036	3844	3858
224.5	3745	4066	3852	3868
225	3747	4099	3859	3877
225.5	3749	4103	3865	3882
226	3752	4108	3871	3887
226.5	3755	4112	3876	3892
227	3758	4117	3881	3897
227.5	3760	4122	3888	3902
228	3762	4126	3895	3907
228.5	3763	4130	3901	3911
229	3764	4135	3908	3916
229.5	3766	4140	3914	3921
230	3767	4145	3921	3926
230.5	3775	4146	3926	3931
231	3782	4148	3931	3936
231.5	3787	4151	3936	3942
232	3793	4153	3940	3947
232.5	3798	4156	3947	3952
233	3803	4160	3952	3957
233.5	3807	4163	3959	3962
234	3810	4166	3965	3968
234.5	3815	4168	3970	3973
235	3817	4171	3977	3978
235.5	3826	4177	3983	3986
236	3834	4183	3990	3993
236.5	3837	4188	3998	4001
237	3839	4192	4006	4009
237.5	3842	4197	4014	4017
238	3845	4203	4023	4024
238.5	3848	4209	4030	4032
239	3851	4218	4038	4040
239.5	3852	4227	4045	4047
240	3854	4238	4053	4055
240.5	3863	4241	4058	4060
241	3875	4243	4063	4065
241.5	3884	4246	4068	4070
242	3899	4247	4072	4075
242.5	3908	4248	4077	4080
243	3916	4250	4081	4085
243.5	3924	4252	4085	4089
244	3934	4253	4091	4094
244.5	3942	4259	4096	4099
245	3947	4263	4102	4104
245.5	3955	4264	4107	4108
246	3964	4265	4110	4113
246.5	3973	4267	4115	4117
247	3981	4270	4119	4122
247.5	3989	4272	4124	4126
248	3996	4274	4128	4130
248.5	4002	4277	4133	4135
249	4007	4280	4138	4139
249.5	4010	4283	4142	4143
250	4015	4286	4147	4148
250.5	4022	4289	4150	4152
251	4028	4291	4153	4155
251.5	4032	4294	4156	4159
252	4036	4296	4160	4163
252.5	4040	4300	4163	4167
253	4045	4304	4167	4171
253.5	4048	4306	4171	4174
254	4051	4310	4174	4178
254.5	4053	4316	4178	4182
255	4056	4321	4183	4186
255.5	4061	4325	4187	4191
256	4065	4329	4192	4195
256.5	4070	4334	4197	4200
257	4073	4340	4203	4205
257.5	4078	4346	4208	4210
258	4080	4351	4213	4215
258.5	4083	4359	4218	4219
259	4085	4367	4221	4224
259.5	4088	4375	4225	4229
260	4089	4382	4229	4234
260.5	4099	4385	4235	4240
261	4110	4389	4243	4246
261.5	4119	4392	4251	4253
262	4125	4397	4258	4259
262.5	4132	4401	4266	4265
263	4138	4405	4273	4271
263.5	4144	4409	4280	4278
264	4150	4412	4287	4284
264.5	4154	4417	4294	4290
265	4158	4421	4300	4296
265.5	4166	4424	4305	4301
266	4174	4427	4309	4305
266.5	4180	4431	4313	4310
267	4187	4433	4316	4315
267.5	4192	4436	4320	4319
268	4196	4439	4324	4324
268.5	4200	4442	4329	4328
269	4206	4446	4335	4333
269.5	4209	4450	4340	4337
270	4212	4455	4345	4342
270.5	4216	4457	4349	4346
271	4221	4459	4353	4351
271.5	4226	4461	4358	4355
272	4230	4463	4361	4359
272.5	4238	4465	4366	4364
273	4243	4467	4371	4368
273.5	4248	4469	4375	4373
274	4251	4472	4380	4377
274.5	4255	4475	4385	4381
275	4258	4479	4390	4386
275.5	4272	4480	4395	4391
276	4283	4481	4400	4396
276.5	4294	4483	4405	4401
277	4305	4485	4410	4406
277.5	4314	4488	4416	4412
278	4323	4489	4423	4417
278.5	4330	4492	4428	4422
279	4338	4495	4434	4427
279.5	4345	4498	4440	4432
280	4350	4502	4444	4437
280.5	4360	4503	4450	4442
281	4369	4504	4456	4448
281.5	4379	4505	4462	4453
282	4388	4507	4469	4458
282.5	4396	4508	4474	4464
283	4404	4511	4481	4469
283.5	4412	4514	4486	4474
284	4419	4517	4492	4479
284.5	4423	4524	4497	4485
285	4426	4532	4502	4490
285.5	4436	4541	4510	4499
286	4441	4556	4518	4508
286.5	4445	4576	4524	4517
287	4448	4598	4531	4527
287.5	4450	4621	4537	4536
288	4452	4646	4544	4545
288.5	4454	4670	4552	4554
289	4457	4695	4559	4563
289.5	4460	4719	4566	4572
290	4463	4744	4573	4581
290.5	4477	4768	4578	4590
291	4491	4790	4585	4599
291.5	4498	4810	4593	4608
292	4503	4835	4601	4617
292.5	4510	4863	4607	4626
293	4515	4889	4613	4635
293.5	4520	4915	4619	4644
294	4526	4940	4625	4653
294.5	4531	4968	4632	4661
295	4535	4993	4639	4670
295.5	4542	5000	4650	4681
296	4549	5009	4660	4692
296.5	4557	5023	4670	4703
297	4562	5035	4679	4714
297.5	4568	5054	4688	4725
298	4576	5070	4699	4736
298.5	4581	5088	4710	4747
299	4584	5108	4720	4757
299.5	4587	5126	4728	4768
300	4589	5144	4737	4779
300.5	4602	5147	4753	4791
301	4614	5150	4769	4803
301.5	4624	5153	4787	4815
302	4632	5157	4807	4826
302.5	4641	5161	4827	4838
303	4649	5166	4846	4850
303.5	4657	5171	4864	4862
304	4665	5174	4881	4873
304.5	4672	5178	4896	4885
305	4680	5181	4912	4897
305.5	4701	5183	4918	4904
306	4721	5184	4925	4911
306.5	4736	5184	4931	4918
307	4744	5185	4937	4925
307.5	4754	5185	4942	4932
308	4764	5186	4948	4940
308.5	4769	5186	4953	4947
309	4775	5187	4959	4954
309.5	4780	5189	4965	4961
310	4784	5189	4972	4968
310.5	4800	5190	4979	4977
311	4815	5190	4986	4986
311.5	4827	5192	4993	4995
312	4841	5192	5002	5004
312.5	4851	5193	5009	5012
313	4865	5199	5016	5021
313.5	4875	5203	5024	5030
314	4884	5209	5033	5039
314.5	4895	5216	5041	5048
315	4903	5227	5052	5057
315.5	4922	5238	5063	5069
316	4941	5249	5075	5081
316.5	4959	5257	5088	5093
317	4976	5267	5101	5105
317.5	4987	5276	5115	5117
318	4997	5288	5128	5129
318.5	5005	5303	5141	5141
319	5012	5313	5153	5153
319.5	5019	5324	5166	5165
320	5024	5340	5178	5177
320.5	5041	5347	5195	5191
321	5058	5354	5211	5206
321.5	5075	5362	5228	5220
322	5090	5368	5245	5234
322.5	5104	5375	5261	5249
323	5118	5384	5275	5263
323.5	5130	5396	5289	5278
324	5142	5403	5303	5292
324.5	5156	5416	5317	5306
325	5169	5429	5330	5321
325.5	5174	5433	5338	5327
326	5180	5438	5346	5333
326.5	5187	5443	5353	5339
327	5195	5449	5360	5345
327.5	5204	5455	5366	5352
328	5214	5463	5372	5358
328.5	5222	5471	5377	5364
329	5229	5481	5382	5370
329.5	5234	5490	5387	5376
330	5238	5502	5392	5383
330.5	5251	5507	5397	5389
331	5263	5513	5402	5396
331.5	5276	5519	5407	5403
332	5288	5525	5413	5410
332.5	5302	5531	5420	5417
333	5313	5539	5426	5424
333.5	5321	5546	5432	5431
334	5328	5553	5439	5437
334.5	5336	5560	5445	5444
335	5344	5567	5450	5451
335.5	5361	5569	5457	5459
336	5378	5571	5464	5467
336.5	5394	5572	5471	5476
337	5410	5574	5479	5484
337.5	5424	5576	5483	5492
338	5439	5579	5489	5500
338.5	5452	5580	5494	5508
339	5464	5583	5501	5517
339.5	5469	5588	5508	5525
340	5473	5602	5517	5533
340.5	5502	5634	5548	5561
341	5521	5676	5580	5590
341.5	5534	5719	5615	5618
342	5544	5762	5646	5647
342.5	5555	5805	5675	5675
343	5565	5850	5703	5703
343.5	5575	5891	5729	5732
344	5586	5933	5759	5760
344.5	5596	5977	5790	5789
345	5606	6021	5817	5817
345.5	5625	6030	5830	5829
346	5649	6039	5839	5840
346.5	5665	6047	5848	5852
347	5673	6056	5859	5864
347.5	5680	6065	5867	5875
348	5688	6076	5875	5887
348.5	5698	6087	5884	5899
349	5707	6096	5896	5910
349.5	5714	6109	5904	5922
350	5722	6121	5916	5934
350.5	5750	6123	5926	5943
351	5772	6125	5937	5953
351.5	5794	6129	5948	5963
352	5806	6140	5959	5972
352.5	5822	6148	5969	5982
353	5839	6154	5980	5992
353.5	5843	6165	5992	6001
354	5845	6173	6003	6011
354.5	5847	6183	6015	6021
355	5850	6197	6024	6030
355.5	5861	6201	6032	6039
356	5874	6205	6042	6047
356.5	5884	6211	6053	6055
357	5893	6218	6064	6063
357.5	5898	6225	6074	6072
358	5905	6233	6083	6080
358.5	5913	6241	6093	6088
359	5921	6251	6103	6097
359.5	5932	6260	6112	6105
360	5940	6272	6121	6113
360.5	5953	6280	6127	6122
361	5965	6287	6134	6130
361.5	5977	6297	6141	6139
362	5987	6306	6149	6148
362.5	5997	6313	6157	6156
363	6007	6320	6164	6165
363.5	6017	6329	6170	6173
364	6025	6338	6178	6182
364.5	6031	6346	6185	6190
365	6040	6355	6193	6199
365.5	6045	6358	6207	6209
366	6050	6365	6223	6220
366.5	6060	6375	6236	6230
