"Age","Mean","CI","Infe","Supe"
3700,7.17196136469986,0.9,5.79567611863977,8.54031868528027
3710,7.15293478033902,0.9,5.69980130180903,8.57085836266451
3720,7.13399774911986,0.9,5.75103540803205,8.49215706089396
3730,7.115173561242,0.9,5.74870778210296,8.47515212353238
3740,7.09647311074863,0.9,5.73722038847853,8.50358247730574
3750,7.0779104000308,0.9,5.72445376232206,8.45436998004568
3760,7.05951710692658,0.9,5.69096671213897,8.38758184704492
3770,7.04131613777528,0.9,5.6272821162257,8.46841567768614
3780,7.02330582546963,0.9,5.67809973374761,8.41591960659776
3790,7.00549958263958,0.9,5.70002554363813,8.31908740028744
3800,6.98793350600649,0.9,5.60233459049693,8.34517369676197
3810,6.970600371787,0.9,5.64659449444712,8.28213752243942
3820,6.95352172305286,0.9,5.66140259656663,8.37293220598818
3830,6.93675403950252,0.9,5.64849101111393,8.19251916265048
3840,6.9202696076362,0.9,5.60250847989833,8.13914514926103
3850,6.90408180411104,0.9,5.57814455710716,8.19911738815217
3860,6.88823166652802,0.9,5.59531923156776,8.16060111672414
3870,6.87271679841464,0.9,5.55697369565979,8.15026187163581
3880,6.85754392576602,0.9,5.59348636321084,8.11596667444593
3890,6.84275715242704,0.9,5.59616121983356,8.09803431043315
3900,6.82835999399417,0.9,5.51528034325577,8.13754486404084
3910,6.81434204480408,0.9,5.57117353186531,8.1075606086056
3920,6.80073103216779,0.9,5.56792046949477,8.07678608918646
3930,6.78756211569743,0.9,5.5590774389595,8.06695374266584
3940,6.77481197726545,0.9,5.52279993831678,8.0188245751823
3950,6.76250523037702,0.9,5.53411537197433,7.94659115257253
3960,6.75068199801933,0.9,5.5196705830011,7.97753016153443
3970,6.73930991714236,0.9,5.48086355250071,7.95615185613483
3980,6.72840228424952,0.9,5.51061824655704,7.9387536844975
3990,6.71800701235395,0.9,5.50465917778865,7.91527130043323
4000,6.7081118508399,0.9,5.52615430203133,7.85980465879725
4010,6.69871462126806,0.9,5.47132920717531,7.88724283856269
4020,6.68983794619782,0.9,5.52253085863033,7.82293339158185
4030,6.68149104821349,0.9,5.50901557675394,7.7827762057888
4040,6.67365579387614,0.9,5.51673031415906,7.84650920632849
4050,6.66635938981497,0.9,5.47675210398039,7.84423527805254
4060,6.65963893201386,0.9,5.4666248808238,7.86022943641042
4070,6.6534559866951,0.9,5.51975491143263,7.77477318594012
4080,6.64781355903612,0.9,5.47403045606453,7.71021553547771
4090,6.64275339144374,0.9,5.53132106310947,7.86464865921399
4100,6.63823896586356,0.9,5.5059002100009,7.75047484278791
4110,6.63427515095309,0.9,5.48703665169207,7.73802187353719
4120,6.63091545753284,0.9,5.51658887861654,7.76911910155501
4130,6.62813269124038,0.9,5.48804587698738,7.76396085155962
4140,6.62590637781717,0.9,5.51460962015812,7.82326363862675
4150,6.6242558622244,0.9,5.46992401892411,7.74519666474916
4160,6.6231841040376,0.9,5.4479404667401,7.77901604754451
4170,6.62266893278945,0.9,5.50100603701648,7.79861705698303
4180,6.62273470945917,0.9,5.55350573077749,7.74447705578337
4190,6.62340380875978,0.9,5.51704772416719,7.82021328545359
4200,6.62463075596501,0.9,5.4768060750813,7.72637306534603
4210,6.62641230074435,0.9,5.54234708539661,7.76323423803743
4220,6.62877372279877,0.9,5.49999141189365,7.7070206440743
4230,6.63168243763178,0.9,5.50433530528466,7.8048001802416
4240,6.63514333041388,0.9,5.53235618144867,7.77613873479291
4250,6.63918052493812,0.9,5.54311947416209,7.81070040172736
4260,6.64377128036168,0.9,5.59756760372134,7.71846829240877
4270,6.64889143942237,0.9,5.51416158758647,7.73852671664694
4280,6.65454509389375,0.9,5.54357350800518,7.76858295739559
4290,6.6607300694819,0.9,5.56789648833545,7.75716612486592
4300,6.6674304638006,0.9,5.57101058710404,7.79888087959959
4310,6.67464185133372,0.9,5.55844381918119,7.7861307804895
4320,6.68238345852863,0.9,5.5719058885524,7.7832363122465
4330,6.69061610525504,0.9,5.5739453017452,7.77175210026247
4340,6.69932617401919,0.9,5.61365063155931,7.83321248727519
4350,6.70852177853846,0.9,5.50838852291549,7.82734488023224
4360,6.71818197875831,0.9,5.53927661259139,7.84668898962061
4370,6.72828996966448,0.9,5.65264300998758,7.84395756595628
4380,6.73885669311759,0.9,5.58934840733312,7.8835379396256
4390,6.74986613835364,0.9,5.6318632810244,7.89646897808306
4400,6.76129374005767,0.9,5.61799405872238,7.92002597084784
4410,6.77313393427774,0.9,5.62835938595233,7.9263199669391
4420,6.78537380290996,0.9,5.63738075989862,7.91364808910387
4430,6.79799243009343,0.9,5.6609408418382,7.98471387610406
4440,6.81097938061842,0.9,5.6775758804087,8.00233312588411
4450,6.82433934640275,0.9,5.71075505825163,7.99067054089804
4460,6.83804749749505,0.9,5.68752291147696,8.00222964301841
4470,6.85209144073976,0.9,5.7253172749988,7.95313220422527
4480,6.86644781471875,0.9,5.71983057406459,8.01533472451597
4490,6.8811021908725,0.9,5.755585460313,8.006140666889
4500,6.8960411249982,0.9,5.72157509730408,8.09429853019683
4510,6.91125236048588,0.9,5.76185807599529,8.10709636261118
4520,6.92672780752008,0.9,5.77324629829143,8.09970548833424
4530,6.94245920566585,0.9,5.80956174263213,8.10078107835927
4540,6.95841111194191,0.9,5.7809863780463,8.08084899282096
4550,6.97456298065197,0.9,5.80512084138274,8.15163683792965
4560,6.99090947454506,0.9,5.81268799682362,8.13632501669403
4570,7.00743169544386,0.9,5.85990194025288,8.18302964359781
4580,7.02411298041879,0.9,5.85597376324336,8.16380062510234
4590,7.04096099300906,0.9,5.94132756306662,8.1806619047004
4600,7.05793876888101,0.9,5.93867900080495,8.16813142610123
4610,7.07500942148995,0.9,5.85994385389168,8.29253497415369
4620,7.09217546184584,0.9,5.90889838177063,8.28555012527269
4630,7.10942331491171,0.9,5.94004159598213,8.25274556952597
4640,7.12672621499014,0.9,5.97623246020227,8.35148982689886
4650,7.1440852693447,0.9,5.96866182248999,8.30606964930462
4660,7.16147923681973,0.9,6.01977370362925,8.33847153948487
4670,7.17887624791552,0.9,5.99710426835576,8.33924633700965
4680,7.19625175570852,0.9,6.0266580401942,8.33724637546473
4690,7.21361199762244,0.9,6.03086700111301,8.410909419839
4700,7.23094004472462,0.9,6.05718639378576,8.35371364313056
4710,7.2481970003798,0.9,6.11600927490179,8.4446221374248
4720,7.26539173478072,0.9,6.0980440146992,8.39072562776792
4730,7.28250247213213,0.9,6.1275390842497,8.42296294255507
4740,7.29948073207472,0.9,6.12584674789695,8.47496115331949
4750,7.3163399426553,0.9,6.14846880638617,8.41356919593292
4760,7.33307511854052,0.9,6.21082926426157,8.50348285749076
4770,7.34964265832454,0.9,6.18468585991282,8.53590255495866
4780,7.36603182299865,0.9,6.21198340264572,8.46108553999088
4790,7.38224298374563,0.9,6.28349957637851,8.46321585638597
4800,7.39824391109713,0.9,6.27472788025534,8.49916848255179
4810,7.41400777811567,0.9,6.33304345719584,8.56000674454043
4820,7.42955618270164,0.9,6.27923942430631,8.57174135070845
4830,7.44486145768677,0.9,6.3841832803348,8.51742272861799
4840,7.45986964150559,0.9,6.42667601101844,8.51179037036116
4850,7.47460903643201,0.9,6.38322268365911,8.55944463101019
4860,7.48906342438959,0.9,6.36629630647278,8.56119149264676
4870,7.50318305671157,0.9,6.4276623967965,8.58676340126674
4880,7.51699113988485,0.9,6.43200628061062,8.53662479361835
4890,7.53047521122657,0.9,6.49180894035003,8.60089137683511
4900,7.54359505056327,0.9,6.45711910004971,8.59805820326819
4910,7.55633953465552,0.9,6.50677651336431,8.63216177502136
4920,7.56871946680643,0.9,6.52295207975227,8.60929132234683
4930,7.58070900058242,0.9,6.5528801416661,8.6384127289088
4940,7.5922820353241,0.9,6.55264156824274,8.62027593167813
4950,7.60345928352187,0.9,6.55741637951497,8.59332703404119
4960,7.61422299696373,0.9,6.62438014881399,8.64727214568238
4970,7.62452078117162,0.9,6.58215346398364,8.65546276250662
4980,7.6343831839633,0.9,6.60888486164051,8.65661388795462
4990,7.64380086622747,0.9,6.70325338273371,8.63848347417021
5000,7.65273002454068,0.9,6.64607927344812,8.61538410333756
5010,7.6611942978471,0.9,6.70979999519525,8.67569403888356
5020,7.66919189879895,0.9,6.69226019448429,8.62783872626747
5030,7.67669029475283,0.9,6.75165557030208,8.63609975170918
5040,7.68367765869275,0.9,6.71678717486315,8.58712543688256
5050,7.69016509708569,0.9,6.7009507715715,8.56235517653365
5060,7.69613671795568,0.9,6.74726900975666,8.67262601841985
5070,7.70157751004924,0.9,6.74867943147352,8.6710876114696
5080,7.70651201122294,0.9,6.71866281942315,8.6825319838714
5090,7.71092985056778,0.9,6.75865393937114,8.62129723503535
5100,7.71478902921014,0.9,6.74606573203569,8.65272863366754
5110,7.71810613630991,0.9,6.75520671063156,8.67396295835783
5120,7.72088678167925,0.9,6.78902672157027,8.61585502730636
5130,7.72310897280458,0.9,6.76375659463097,8.65431133783883
5140,7.72479370102259,0.9,6.84120596681614,8.64262726659647
5150,7.72594505422514,0.9,6.80875504106429,8.65934489855038
5160,7.72654224410386,0.9,6.81833982255954,8.66796860484972
5170,7.72656417078955,0.9,6.87468618782719,8.66442776280523
5180,7.72603741375221,0.9,6.78639535291821,8.63597309173493
5190,7.7249620684087,0.9,6.80664181092689,8.64104084564612
5200,7.72333009653922,0.9,6.83771125051881,8.60604971119185
5210,7.72116553725119,0.9,6.82120691025103,8.64386861248203
5220,7.71846526837368,0.9,6.79166343514012,8.62113070232826
5230,7.71518893913593,0.9,6.78140664778209,8.58055131195208
5240,7.71137047811881,0.9,6.79357207148183,8.61588095701597
5250,7.70702100217143,0.9,6.78295373492211,8.61696346878317
5260,7.70213301846251,0.9,6.77871821063088,8.63181456485859
5270,7.6967256531693,0.9,6.80404138003138,8.58154342049123
5280,7.69080326802993,0.9,6.80267962647725,8.59145930482071
5290,7.68434875469616,0.9,6.71591175383842,8.6155406114835
5300,7.67737817277274,0.9,6.7475605854558,8.58434820161677
5310,7.6699043481722,0.9,6.77573692999745,8.59052972754806
5320,7.66193684910118,0.9,6.80262346492696,8.62642890602963
