"Age","Mean","CI","Infe","Supe"
2210,4.80213895180023,0.9,3.35802196848542,6.32790508656309
2220,4.79205472108798,0.9,3.33765592903064,6.22101152661275
2230,4.78184415702062,0.9,3.29224771927882,6.20136893388546
2240,4.77150364270348,0.9,3.32678638119441,6.21065831234799
2250,4.76113011024772,0.9,3.23825289909789,6.22981451844265
2260,4.75062837423898,0.9,3.28744203863664,6.19061700719347
2270,4.7400386606929,0.9,3.26699098776994,6.21439983999032
2280,4.72936780297209,0.9,3.27562754859859,6.11392263300073
2290,4.71865089840302,0.9,3.25848714608451,6.16886922488194
2300,4.70786194756409,0.9,3.19098971143667,6.15727560620573
2310,4.69697818240414,0.9,3.24309910951346,6.09168053815971
2320,4.68608513302692,0.9,3.24817416294999,6.1119230056357
2330,4.67512888863843,0.9,3.25037805248251,6.10660176659077
2340,4.66412480945122,0.9,3.18608126715541,6.11389184120249
2350,4.65308240203614,0.9,3.28340832765349,6.02892674089238
2360,4.64203884850582,0.9,3.16725816664769,6.05861082935498
2370,4.63096514115927,0.9,3.16346264156276,5.98304874614058
2380,4.61984867914771,0.9,3.23941910284923,6.03746600886457
2390,4.60875200733099,0.9,3.27442343046201,6.03270179219696
2400,4.59765791654847,0.9,3.20997731543085,5.93767874380522
2410,4.58654194643328,0.9,3.13561629229783,6.0678799378468
2420,4.5754366510612,0.9,3.20675375042374,5.93713542964462
2430,4.5643741610802,0.9,3.07437029613909,5.92361120009222
2440,4.55332881442536,0.9,3.1447084969859,5.9483016964513
2450,4.54228312819551,0.9,3.10806083834423,5.95300835392046
2460,4.53127703136497,0.9,3.19806177997598,5.94290509425617
2470,4.52034489745772,0.9,3.12554934114303,5.87443749029942
2480,4.50943096699887,0.9,3.04302419370431,5.87294410419291
2490,4.4985552690196,0.9,3.10354072882598,5.90294347995355
2500,4.48774591105524,0.9,3.07730421674703,5.90872127832623
2510,4.47701650826694,0.9,3.12789785633294,5.80514258369653
2520,4.46633440354045,0.9,3.13905180904236,5.81391085546564
2530,4.45570554192493,0.9,3.17820696987087,5.80610711740117
2540,4.44517345281605,0.9,3.05146128101901,5.76989325502034
2550,4.43472904522028,0.9,3.11356806272059,5.78473446266423
2560,4.4243535064981,0.9,2.98034056968168,5.84310412516445
2570,4.41406518291632,0.9,3.01442884375662,5.7223973259341
2580,4.40386388534526,0.9,3.02193123693856,5.7424856829152
2590,4.39377604480231,0.9,3.0453466481654,5.75112063571366
2600,4.383775618679,0.9,2.95648491426187,5.79697394006289
2610,4.37388272430244,0.9,2.9059378179124,5.68147654474897
2620,4.36408480901941,0.9,2.99976848782574,5.74535315730411
2630,4.35440601509181,0.9,2.94011566194968,5.69723965435331
2640,4.34484184088415,0.9,2.90803738898081,5.71474671069384
2650,4.33538942897957,0.9,2.97274857502412,5.75477728903624
2660,4.32603905944806,0.9,3.00806282129076,5.76760307636084
2670,4.31682245800381,0.9,2.98599705869319,5.72132388193639
2680,4.30773071944663,0.9,2.9763626474881,5.71332628153182
